,user,posts
306,blobstar,Earning his keep
307,danialmok,@blobstar hahhahaaaa 🤣
308,undftd7,Dude need a bike
309,danialmok,@undftd7 hahhaha how to bring bike up the school van 🤣
310,ohkopisoh,🤣🤣🤣👏🏻👏🏻👏🏻❤️❤️❤️
311,danialmok,@ohkopisoh hehehee cute right my deliveroo guy
312,ravenskullx,Omg so cute 😍 where did he get his shirt from ?
313,danialmok,@ravenskullx haha thank you. i got the tshirt from uniqlo and i diy-ed the logo
314,ravenskullx,@danialmok niceeee u should sell
315,lutfiotaku,"another @deliveroo_sg sunday ride. helmets not only protect your head, they're also a bowl when u gotta eat on the street. #deliveroosg #rooahroo...#messlife #messlifesingapore #messlifesg #sgmessenger #sgcourier #bikemessengersg #majulahfixedgear #messfam #messfamsg #messfamsingapore #fixiefamous #fixiefamoussingapore #fixedgear #fixedgearnofear #cultoffixed #pizzbasket #cyclenotpmd #nobrakesnoproblem #paidtoride #sgfixed #fixedgearsingapore #fastbutnotstupidfast #bikemessenger #ascentbikes #crankarmsteady #gengkayuhlepak #majulahtrackbike #neverpayroadtax"
316,___nutshell,Never really thought about helmets that way before😂🔥
317,asri8t9,🤭
318,ajthmmht,Ingenious
319,brummie_mess,Fast food 😁👍
320,temenfesbuk,I wanna buy a bowl like that 😭
321,lutfiotaku,@temenfesbuk skateboard helmet mas. bisa aku makan nasi pandang. hahahaha
322,temenfesbuk,"@lutfiotaku Ikr, mine also. Looks more street right.. 😂"
323,im.hayai,Now I want a helmet
324,lutfiotaku,@im.hayai go buy
325,pitkupitu,Nice tips 😄
326,lutfiotaku,@pitkupitu of course mas! aku bisa makan nasi campur dlm helm aku. HAHAHAHA
327,darling_matt,What front rack is that?
328,lutfiotaku,@darling_matt from @pizz_official bought from @fishtailcyc
